Data dir:   /Users/dhm/Documents/data
Index dir:  /Users/dhm/Documents/indices
Output dir: /Users/dhm/Documents/SuCo/benchs/results
Datasets:   ['openai']
Benchmarks: ['construction', 'recall_k20', 'recall_k50', 'robustness', 'ablation']

######################################################################
# Dataset: OPENAI
######################################################################

Loading dataset openai...
  Loaded in 2.0s: xb=(990000, 1536), xq=(10000, 1536), gt=(10000, 100)
  Loaded robustness queries from cache

--- Building SHG ---
  SHG: add=603.46s, shortcut=1.09s, total=604.54s
  SHG: time=604.54s, memory=8104.56MB
  SHG-no-shortcut (ef/nprobe=40): recall=0.9503, time=0.8145 ms/q
  SHG-no-shortcut (ef/nprobe=60): recall=0.9669, time=1.1283 ms/q
  SHG-no-shortcut (ef/nprobe=80): recall=0.9754, time=1.3701 ms/q
  SHG-no-shortcut (ef/nprobe=100): recall=0.9806, time=1.6544 ms/q
  SHG-no-shortcut (ef/nprobe=150): recall=0.9868, time=2.1947 ms/q
  SHG-no-shortcut (ef/nprobe=200): recall=0.9899, time=2.7544 ms/q
  SHG-no-shortcut (ef/nprobe=300): recall=0.9929, time=3.8614 ms/q
  SHG-no-shortcut (ef/nprobe=400): recall=0.9946, time=5.1557 ms/q
  SHG-no-shortcut (ef/nprobe=600): recall=0.9961, time=7.4026 ms/q
  SHG-no-shortcut (ef/nprobe=800): recall=0.9970, time=9.1009 ms/q
  SHG-no-shortcut (ef/nprobe=1000): recall=0.9975, time=11.7779 ms/q
  SHG-no-shortcut (ef/nprobe=1500): recall=0.9984, time=16.4611 ms/q
  SHG-no-shortcut (ef/nprobe=2000): recall=0.9988, time=21.9470 ms/q
  SHG-no-lb (ef/nprobe=10): recall=0.8138, time=0.3346 ms/q
  SHG-no-lb (ef/nprobe=15): recall=0.8688, time=0.4212 ms/q
  SHG-no-lb (ef/nprobe=20): recall=0.8996, time=0.5010 ms/q
  SHG-no-lb (ef/nprobe=30): recall=0.9328, time=0.6517 ms/q
  SHG-no-lb (ef/nprobe=40): recall=0.9496, time=0.7873 ms/q
  SHG-no-lb (ef/nprobe=60): recall=0.9671, time=1.0925 ms/q
  SHG-no-lb (ef/nprobe=80): recall=0.9755, time=1.3244 ms/q
  SHG-no-lb (ef/nprobe=100): recall=0.9804, time=1.5881 ms/q
  SHG-no-lb (ef/nprobe=150): recall=0.9867, time=2.3812 ms/q
  SHG-no-lb (ef/nprobe=200): recall=0.9899, time=2.9120 ms/q
  SHG-no-lb (ef/nprobe=300): recall=0.9930, time=3.9027 ms/q
  SHG-no-lb (ef/nprobe=400): recall=0.9946, time=5.0191 ms/q
  SHG-no-lb (ef/nprobe=600): recall=0.9962, time=6.9779 ms/q
  SHG-no-lb (ef/nprobe=800): recall=0.9970, time=9.0254 ms/q
  SHG-no-lb (ef/nprobe=1000): recall=0.9975, time=10.8803 ms/q
  SHG-no-lb (ef/nprobe=1500): recall=0.9984, time=15.0577 ms/q
  SHG-no-lb (ef/nprobe=2000): recall=0.9988, time=21.2808 ms/q

--- Loading HNSW from /Users/dhm/Documents/indices/openai_hnsw.idx ---
  HNSW: loaded, memory=6178.51MB
  HNSW (ef/nprobe=10): recall=0.8172, time=0.8612 ms/q
  HNSW (ef/nprobe=15): recall=0.8705, time=0.3973 ms/q
  HNSW (ef/nprobe=20): recall=0.8995, time=0.5186 ms/q
  HNSW (ef/nprobe=30): recall=0.9324, time=0.6436 ms/q
  HNSW (ef/nprobe=40): recall=0.9486, time=0.8012 ms/q
  HNSW (ef/nprobe=60): recall=0.9660, time=1.1394 ms/q
  HNSW (ef/nprobe=80): recall=0.9744, time=1.5272 ms/q
  HNSW (ef/nprobe=100): recall=0.9798, time=1.7569 ms/q
  HNSW (ef/nprobe=150): recall=0.9864, time=2.1894 ms/q
  HNSW (ef/nprobe=200): recall=0.9896, time=2.7052 ms/q
  HNSW (ef/nprobe=300): recall=0.9927, time=4.0076 ms/q
  HNSW (ef/nprobe=400): recall=0.9944, time=5.0300 ms/q
  HNSW (ef/nprobe=600): recall=0.9961, time=7.3143 ms/q
  HNSW (ef/nprobe=800): recall=0.9969, time=9.2700 ms/q
  HNSW (ef/nprobe=1000): recall=0.9974, time=10.6731 ms/q
  HNSW (ef/nprobe=1500): recall=0.9983, time=15.2403 ms/q
  HNSW (ef/nprobe=2000): recall=0.9988, time=21.0239 ms/q
  HNSW (ef/nprobe=10): recall=0.7457, time=0.3379 ms/q
  HNSW (ef/nprobe=15): recall=0.8128, time=0.4072 ms/q
  HNSW (ef/nprobe=20): recall=0.8531, time=0.5260 ms/q
  HNSW (ef/nprobe=30): recall=0.9001, time=0.6017 ms/q
  HNSW (ef/nprobe=40): recall=0.9251, time=0.7921 ms/q
  HNSW (ef/nprobe=60): recall=0.9515, time=1.0508 ms/q
  HNSW (ef/nprobe=80): recall=0.9647, time=1.3277 ms/q
  HNSW (ef/nprobe=100): recall=0.9727, time=1.4664 ms/q
  HNSW (ef/nprobe=150): recall=0.9827, time=2.5305 ms/q
  HNSW (ef/nprobe=200): recall=0.9873, time=2.9706 ms/q
  HNSW (ef/nprobe=300): recall=0.9917, time=2.7957 ms/q
  HNSW (ef/nprobe=400): recall=0.9939, time=3.0214 ms/q
  HNSW (ef/nprobe=600): recall=0.9958, time=4.3272 ms/q
  HNSW (ef/nprobe=800): recall=0.9968, time=5.6112 ms/q
  HNSW (ef/nprobe=1000): recall=0.9974, time=7.0198 ms/q
  HNSW (ef/nprobe=1500): recall=0.9982, time=10.3614 ms/q
  HNSW (ef/nprobe=2000): recall=0.9987, time=13.7015 ms/q
  HNSW (ef/nprobe=10): recall=0.8172, time=0.2014 ms/q
  HNSW (ef/nprobe=15): recall=0.8705, time=0.2503 ms/q
  HNSW (ef/nprobe=20): recall=0.8995, time=0.2978 ms/q
  HNSW (ef/nprobe=30): recall=0.9324, time=0.3952 ms/q
  HNSW (ef/nprobe=40): recall=0.9486, time=0.4833 ms/q
  HNSW (ef/nprobe=60): recall=0.9660, time=0.6492 ms/q
  HNSW (ef/nprobe=80): recall=0.9744, time=0.8137 ms/q
  HNSW (ef/nprobe=100): recall=0.9798, time=0.9778 ms/q
  HNSW (ef/nprobe=150): recall=0.9864, time=1.3862 ms/q
  HNSW (ef/nprobe=200): recall=0.9896, time=1.7221 ms/q
  HNSW (ef/nprobe=300): recall=0.9927, time=2.4121 ms/q
  HNSW (ef/nprobe=400): recall=0.9944, time=3.0477 ms/q
  HNSW (ef/nprobe=600): recall=0.9961, time=4.3625 ms/q
  HNSW (ef/nprobe=800): recall=0.9969, time=5.5939 ms/q
  HNSW (ef/nprobe=1000): recall=0.9974, time=6.8354 ms/q
  HNSW (ef/nprobe=1500): recall=0.9983, time=9.9652 ms/q
  HNSW (ef/nprobe=2000): recall=0.9988, time=13.5165 ms/q

--- Loading Panorama from /Users/dhm/Documents/indices/openai_panorama.idx ---
  Panorama: loaded, memory=6186.07MB
  Panorama (ef/nprobe=10): recall=0.8166, time=1.5071 ms/q
  Panorama (ef/nprobe=15): recall=0.8697, time=0.2752 ms/q
  Panorama (ef/nprobe=20): recall=0.8995, time=0.3243 ms/q
  Panorama (ef/nprobe=30): recall=0.9326, time=0.4212 ms/q
  Panorama (ef/nprobe=40): recall=0.9493, time=0.5137 ms/q
  Panorama (ef/nprobe=60): recall=0.9663, time=0.6884 ms/q
  Panorama (ef/nprobe=80): recall=0.9745, time=0.8594 ms/q
  Panorama (ef/nprobe=100): recall=0.9800, time=1.0286 ms/q
  Panorama (ef/nprobe=150): recall=0.9863, time=1.4235 ms/q
  Panorama (ef/nprobe=200): recall=0.9895, time=1.8006 ms/q
  Panorama (ef/nprobe=300): recall=0.9926, time=2.5157 ms/q
  Panorama (ef/nprobe=400): recall=0.9944, time=3.2025 ms/q
  Panorama (ef/nprobe=600): recall=0.9960, time=4.5738 ms/q
  Panorama (ef/nprobe=800): recall=0.9968, time=5.9038 ms/q
  Panorama (ef/nprobe=1000): recall=0.9974, time=7.0641 ms/q
  Panorama (ef/nprobe=1500): recall=0.9983, time=10.5276 ms/q
  Panorama (ef/nprobe=2000): recall=0.9988, time=14.1398 ms/q
  Panorama (ef/nprobe=10): recall=0.7455, time=0.2216 ms/q
  Panorama (ef/nprobe=15): recall=0.8125, time=0.2724 ms/q
  Panorama (ef/nprobe=20): recall=0.8532, time=0.3229 ms/q
  Panorama (ef/nprobe=30): recall=0.9003, time=0.4169 ms/q
  Panorama (ef/nprobe=40): recall=0.9258, time=0.5085 ms/q
  Panorama (ef/nprobe=60): recall=0.9519, time=0.6801 ms/q
  Panorama (ef/nprobe=80): recall=0.9649, time=0.8463 ms/q
  Panorama (ef/nprobe=100): recall=0.9731, time=1.0108 ms/q
  Panorama (ef/nprobe=150): recall=0.9826, time=1.3898 ms/q
  Panorama (ef/nprobe=200): recall=0.9872, time=1.7632 ms/q
  Panorama (ef/nprobe=300): recall=0.9916, time=2.4720 ms/q
  Panorama (ef/nprobe=400): recall=0.9938, time=3.1813 ms/q
  Panorama (ef/nprobe=600): recall=0.9957, time=4.5691 ms/q
  Panorama (ef/nprobe=800): recall=0.9967, time=5.8852 ms/q
  Panorama (ef/nprobe=1000): recall=0.9973, time=7.1838 ms/q
  Panorama (ef/nprobe=1500): recall=0.9982, time=10.5697 ms/q
  Panorama (ef/nprobe=2000): recall=0.9986, time=14.1155 ms/q

--- Loading IVFFlat from /Users/dhm/Documents/indices/openai_ivfflat.idx ---
  IVFFlat: loaded, memory=5814.17MB
  IVFFlat (ef/nprobe=1): recall=0.5562, time=0.2730 ms/q
  IVFFlat (ef/nprobe=2): recall=0.6939, time=0.2284 ms/q
  IVFFlat (ef/nprobe=4): recall=0.7934, time=0.4331 ms/q
  IVFFlat (ef/nprobe=8): recall=0.8653, time=0.8313 ms/q
  IVFFlat (ef/nprobe=16): recall=0.9165, time=1.6213 ms/q
  IVFFlat (ef/nprobe=32): recall=0.9529, time=3.4351 ms/q
  IVFFlat (ef/nprobe=64): recall=0.9767, time=6.1985 ms/q
  IVFFlat (ef/nprobe=128): recall=0.9906, time=12.4245 ms/q
  IVFFlat (ef/nprobe=256): recall=0.9972, time=25.7452 ms/q
  IVFFlat (ef/nprobe=512): recall=0.9995, time=52.7278 ms/q
  IVFFlat (ef/nprobe=1): recall=0.5278, time=0.1273 ms/q
  IVFFlat (ef/nprobe=2): recall=0.6671, time=0.2514 ms/q
  IVFFlat (ef/nprobe=4): recall=0.7722, time=0.4788 ms/q
  IVFFlat (ef/nprobe=8): recall=0.8492, time=0.9115 ms/q
  IVFFlat (ef/nprobe=16): recall=0.9053, time=1.7862 ms/q
  IVFFlat (ef/nprobe=32): recall=0.9455, time=3.5214 ms/q
  IVFFlat (ef/nprobe=64): recall=0.9724, time=7.0162 ms/q
  IVFFlat (ef/nprobe=128): recall=0.9882, time=13.9313 ms/q
  IVFFlat (ef/nprobe=256): recall=0.9962, time=27.2019 ms/q
  IVFFlat (ef/nprobe=512): recall=0.9992, time=54.8258 ms/q

--- Loading IVFPQ from /Users/dhm/Documents/indices/openai_ivfpq.idx ---
  IVFPQ: loaded, memory=196.16MB
  IVFPQ (ef/nprobe=1): recall=0.4891, time=0.2579 ms/q
  IVFPQ (ef/nprobe=2): recall=0.5880, time=0.4059 ms/q
  IVFPQ (ef/nprobe=4): recall=0.6481, time=0.7258 ms/q
  IVFPQ (ef/nprobe=8): recall=0.6849, time=1.3185 ms/q
  IVFPQ (ef/nprobe=16): recall=0.7063, time=2.5034 ms/q
  IVFPQ (ef/nprobe=32): recall=0.7179, time=4.8729 ms/q
  IVFPQ (ef/nprobe=64): recall=0.7236, time=9.5691 ms/q
  IVFPQ (ef/nprobe=128): recall=0.7259, time=19.4015 ms/q
  IVFPQ (ef/nprobe=256): recall=0.7266, time=37.5831 ms/q
  IVFPQ (ef/nprobe=512): recall=0.7268, time=73.5456 ms/q
  IVFPQ (ef/nprobe=1): recall=0.4729, time=0.2581 ms/q
  IVFPQ (ef/nprobe=2): recall=0.5728, time=0.4466 ms/q
  IVFPQ (ef/nprobe=4): recall=0.6367, time=0.8000 ms/q
  IVFPQ (ef/nprobe=8): recall=0.6754, time=1.4047 ms/q
  IVFPQ (ef/nprobe=16): recall=0.6980, time=2.5553 ms/q
  IVFPQ (ef/nprobe=32): recall=0.7105, time=4.8631 ms/q
  IVFPQ (ef/nprobe=64): recall=0.7165, time=9.5990 ms/q
  IVFPQ (ef/nprobe=128): recall=0.7191, time=18.9986 ms/q
  IVFPQ (ef/nprobe=256): recall=0.7199, time=37.6480 ms/q
  IVFPQ (ef/nprobe=512): recall=0.7201, time=74.0919 ms/q

======================================================================
BENCHMARK: Construction - openai
======================================================================
  SHG: time=604.54s, memory=8104.56MB
  HNSW: time=448.91s, memory=6178.51MB
  Panorama: time=481.98s, memory=6186.07MB
  IVFFlat: time=53.22s, memory=5814.17MB
  IVFPQ: time=59.46s, memory=196.16MB

======================================================================
BENCHMARK: Recall vs Time (k=20) - openai
======================================================================

======================================================================
BENCHMARK: Recall vs Time (k=50) - openai
======================================================================

======================================================================
BENCHMARK: Robustness (unseen queries, k=20) - openai
======================================================================
  SHG: mean=0.9930, median=1.0000, min=0.7000, max=1.0000
  HNSW: mean=0.9920, median=1.0000, min=0.7000, max=1.0000
  Panorama: mean=0.9920, median=1.0000, min=0.7000, max=1.0000
  IVFFlat: mean=0.9794, median=1.0000, min=0.4500, max=1.0000
  IVFPQ: mean=0.7530, median=0.7500, min=0.3500, max=1.0000

======================================================================
BENCHMARK: Ablation (k=20) - openai
======================================================================

Results saved to /Users/dhm/Documents/SuCo/benchs/results/results_openai.json
